objectid,filename,title,format,description,creator,date,classification,subject,keywords,location,latitude,longitude,medium,relation,language,duration,file_size,dimensions_surrogate,dimensions_real,rights,rightsstatement,display_template,object_location,image_small,image_thumb,type
image_007,007_image.jpeg,Cathedral of Christ the Saviour,image/jpeg,"A photo taken of the Cathedral of Christ the Saviour, a Russian Orthodox cathedral in Moscow, Russia, constructed in the Russian Revival architectural style. Following the dissolution of the original church in 1931, the current cathedral was rebuilt between 1995 and 2000.","Creery, Madison",2018-07-26,architecture,Cathedrals-Russia (Federation)-Moscow,cathedrals; Russian revival architecture; Orthodox church,"Moscow, Russia",55.74469,37.60586,,Website: https://russiable.com/cathedral-christ-saviour-moscow/,,,1.2 MB,3024x4032 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/007_image.jpeg,/objects/small/007_image.jpeg,/objects/thumbs/007_image.jpeg,Image;StillImage
image_008,008_image.jpg,Saint Basil's Cathedral; Cathedral of Vasily the Blessed,image/jpeg,"A photo taken of Saint Basil's Cathedral, an Orthodox church located in Red Square or Moscow, and is one of the most popular cultural symbols of Russia. Built from 1555 to 1561 with its nine iconic, colorful domes, the building now acts as a museum.","Creery, Madison",2018-07-29,architecture; heritage site,Cathedrals-Russia (Federation)-Moscow,cathedrals; Russian decorative architecture; Orthodox church,"Moscow, Russia",55.75272,37.62364,,Website: https://en.shm.ru/museum/hvb/,,,1.3 MB,2250x2999 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/008_image.jpg,/objects/small/008_image.jpg,/objects/thumbs/008_image.jpg,Image;StillImage
image_009,009_image.jpeg,Moscow Kremlin,image/jpeg,"A photo taken of the Moscow Kremlin Wall and the Grand Kremlin Palace from across the Moscow River. Behind the Kremlin Wall, the Grand Kremlin Palace serves as the official place of work of the President of Russia.","Creery, Madison",2018-07-26,architecture; heritage site,Kremlin-Russia (Federation)-Moscow,historic sites; military architecture; government building; medieval Russian architecture; Russian revival architecture,"Moscow, Russia",55.7511,37.61825,,Website: https://www.kreml.ru/en-Us/visit-to-kremlin/,,,1.9 MB,3024x4032 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/009_image.jpeg,/objects/small/009_image.jpeg,/objects/thumbs/009_image.jpeg,Image;StillImage
image_010,010_image.jpeg,Matryoshka Doll; Stacking Doll; Nesting Doll,image/jpeg,"A photo taken of a Matryoshka doll souvenir that was purchased in a St. Petersburg market in 2018. There are 10 dolls in this set, painted in vibrant colors.","Creery, Madison",2025-04-12,folk art and material culture,Nesting dolls-Russia (Federation)-St. Petersburg,traditional Russian crafts; keepsakes; Russian cultural symbols,,,,Wood,,,,2.9 MB,3024x3752 px,"(Left to right, back row): 8"" x 3.75""; 5.5"" x 2.75""; 4"" x 2""; (Left to right, middle row): 3"" x 1.80""; 2.25"" x 1.25""; 1.75"" x 1""; 1.25"" x 0.75""; (Left to right, front row): 1"" x 0.6""; 0.75"" x 0.5"";  0.4"" x 0.25""","Madison Creery, 2025, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/010_image.jpeg,/objects/small/010_image.jpeg,/objects/thumbs/010_image.jpeg,Image;StillImage
image_011,011_image.jpeg,Matryoshka Doll; Stacking Doll; Nesting Doll,image/jpeg,"A photo taken of a Matryoshka doll souvenir that was purchased in a Moscow market in 2018. There are 7 dolls in this set, painted to represent former Russian leaders. (Left to right, back row): Boris Yeltsin (Russian Federation), Mikhail Gorbachev (USSR), Leonid Brezhnev (USSR); (Left to right, front row): Nikita Khrushchev (USSR), Joseph Stalin (USSR), Vladimir Lenin (USSR), and Grigori Rasputin (Imperial Russia)","Creery, Madison",2025-04-12,folk art and material culture,Nesting dolls-Russia (Federation)-Moscow,traditional Russian crafts; keepsakes; Russian cultural symbols; political history,,,,Wood,,,,2.2 MB,3024x4032 px,"(Left to right, back row): 8.25"" x 3.75""; 6.5"" x 3""; 5.25"" x 2.4""; (Left to right, front row): 4"" x 1.75""; 2.8"" x 1.5""; 2.25"" x 1.25""; 1.5"" x 0.75""","Madison Creery, 2025, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/011_image.jpeg,/objects/small/011_image.jpeg,/objects/thumbs/011_image.jpeg,Image;StillImage
image_012,012_image.jpeg,Cheburashka Plush Toy ,image/jpeg,"A photo taken of a Cheburashka plush toy from St. Petersburg, Russia. Cheburashka is a fictional cartoon character from a Soviet era TV show, and is renowned as a national symbol of the former USSR. ","Creery, Madison",2025-04-12,folk art and material culture,Cheburashka (Fictitious character)-Russia (Federation)-St. Petersburg,keepsakes; Russian cultural symbols; Soviet history,,,,"Plush, Rubber",,,,3.3 MB,3024x4032 px,"8"" x 8.5""","Madison Creery, 2025, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/012_image.jpeg,/objects/small/012_image.jpeg,/objects/thumbs/012_image.jpeg,Image;StillImage
image_013,013_image.jpeg,The Naval Cathedral of Saint Nicholas,image/jpeg,"A photo taken of the Naval Cathedral of St. Nicholas in Kronstadt, a Russian Orthodox cathedral built in the early 1900s as the main church of the Russian Navy. ","Creery, Madison",2018-07-04,architecture,Cathedrals-Russia (Federation)-Kronstadt,cathedrals; Neo-Byzantine architecture; Orthodox church,"Kronstadt, Russia",59.99183,29.7783,,,,,2.7 MB,3024x4032 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/013_image.jpeg,/objects/small/013_image.jpeg,/objects/thumbs/013_image.jpeg,Image;StillImage
image_014,014_image.jpeg,Church of St. Paraskevi,image/jpeg,"A photo taken of the Church of St. Paraskevi in Veliky Novgorod, one of Russia's oldest churches, dating from 1207. Currently, the church functions as a museum.","Creery, Madison",2018-07-07,architecture; heritage site,Church buildings-Russia (Federation)-Novgorod Oblast,church; medieval church; Orthodox church,"Veliky Novgorod, Russia",58.51847,31.28618,,Website: https://www.spottinghistory.com/view/2132/st-paraskevis-church/,,,2.6 MB,3024x4032 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/014_image.jpeg,/objects/small/014_image.jpeg,/objects/thumbs/014_image.jpeg,Image;StillImage
movie_005,005_movie.mov,Red Square,video/mpeg,"A video taken while on the Red Square in Moscow, Russia. Adjacent to the Kremlin, the Red Square is also home to the State Historical Building (maroon building), Lenin's Mausoleum, St. Basil's Cathedral, and the GUM Department Store. ","Creery, Madison",2018-07-26,architecture; heritage site,Kremlin-Russia (Federation)-Moscow,historic sites; military architecture; government building; Russian revival architecture,"Moscow, Russia",55.75356,37.62239,,,rus,0:00:11,23.9 MB,1080x1920 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,video,/objects/005_movie.mov,/objects/small/005_movie.mov,/objects/thumbs/005_movie.mov,Image;MovingImage
movie_006,006_movie.mov,Saint Basil's Cathedral; Cathedral of Vasily the Blessed,video/mpeg,"A video taken of Saint Basil's Cathedral, an Orthodox church located in Red Square or Moscow, and is one of the most popular cultural symbols of Russia. Built from 1555 to 1561 with its nine iconic, colorful domes, the building now acts as a museum.","Creery, Madison",2018-07-28,architecture; heritage site,Cathedrals-Russia (Federation)-Moscow,cathedrals; Russian decorative architecture; Orthodox church,"Moscow, Russia",55.75272,37.62364,,Website: https://en.shm.ru/museum/hvb/,rus,0:00:09,18.8 MB,1080x1920 px,,"Madison Creery, 2018, All Rights Reserved",https://rightsstatements.org/page/InC/1.0/?language=en,video,/objects/006_movie.mov,/objects/small/006_movie.mov,/objects/thumbs/006_movie.mov,Image;MovingImage
